,paper_id,sentence_id,section_name,prev_sentence,text,next_sentence,problem,direction
10,PMC7243776,PMC7243776_4,abstract,A new method is here offered to explore the core points of this topic.,"The Emergency Reaction Questionnaire (ERQ), is proposed for predicting one's reaction and behaviour in an emergency.","First, a large item pool was created based on interviews with people facing emergencies on a weekly basis and related literature.",0.0,0.0
11,PMC2658664,PMC2658664_56,Metabolite identification and quantification ::: Results,This figure shows that most of the identified metabolites were in the low abundance region of the chromatogram.,Most of the high abundant peaks are substances derived from column bleeding or the derivatization reagent.,Of the detected 47 metabolites 41 were identified using their fragmentation pattern and retention index.,0.0,0.0
12,PMC7138432,PMC7138432_181,Routes of Transmission ::: Hepatitis C ::: Transmission Through Blood and Body Fluids,|,"Since the disease is often silent, there is a need to raise awareness among the general population on how to avoid infection and to encourage high-risk groups to be tested.",Healthcare professionals should also be educated to avoid ­occupationally acquired infection.,1.0,1.0
13,PMC7361318,PMC7361318_1,abstract,OBJECTIVE: To retrospectively review the impact of the outbreak of coronavirus disease 2019 (COVID‐19) on services in the oral emergency room.,"MATERIALS AND METHODS: A statistical analysis of epidemiological characteristics and the patients’ diagnoses and treatments in the Emergency Department of Peking University Hospital of Stomatology during the outbreak of COVID‐19 in 2020 compared with those in 2019 in Beijing, China.","RESULTS: There were fewer total visits in 2020 than in 2019 (P = 0.001), and the proportions of patients who were children, adolescents and elderly people were lower in 2020 than in 2019 (P < 0.001).",0.0,0.0
14,PMC7417961,PMC7417961_27,The Public/Private Distinction,"Yet, the same is not true for MIMS.","Technological interventions like algorithmic moderation are not possible on encrypted services like WhatsApp (Resende et al., 2019).","Moreover, other technological solutions like limiting message forwarding have proven ineffective at curbing the spread of messages that are considered harmful (de Freitas Melo et al., 2019).",1.0,0.0
15,PMC7080167,PMC7080167_103,Orientation of spotted components ::: Limitations and solutions of protein microarray technology,|,A new method for stable binding of proteins to a surface has recently been developed by linking proteins via a Leucine zipper (Zhang et al. 2005).,"Therefore an elastin mimetic domain is covalently bound to an Octyltrichlorosilane surface by a photoreactive amino acid and UV irradiation, whereas the target protein is fused to the complementary leucine zipper helix.",0.0,0.0
16,PMC2853144,PMC2853144_217,Second level: recursive structure formation ::: MATERIALS AND METHODS,"As described in Table 1, the set of pseudoknots is divided into the three different classes according to the length of loop .","To account for recursive structure elements, the loop entropies need to be recalculated.","Following the notation in Cao and Chen (48), we first calculate the effective loop lengths.",0.0,0.0
17,PMC7359525,PMC7359525_33,Introduction,"Although neurological complications have been described in human COVID-19 patients (34), lung damage is the primary cause of death in most patients (35).",It is evident that there is an urgent need to establish animal models which authentically recapitulate human lung disease which will be important for understanding disease pathogenesis.,"However, models in which hACE2 is over-expressed are useful for early vaccine and antiviral studies which use protection from infection or viral replication as an endpoint.",1.0,1.0
18,PMC4380134,PMC4380134_147,The effect of incubation temperature on HPeV1 replication ::: Results,"The diversity of HPeV1-mediated IRF3 activation in different cell types was
supported by double-stranded RNA polyI:C stimulation inducing greater
phosphorylation of IRF3 in A549 than T84 cells (Fig. 4E); consistently, HPeV1 and polyI:C induced a
higher mRNA level of IFNα1 and IFNβ in A549 cells (Fig. 4F and G).","As compared
with A549 cells, T84 cells showed a more torpid innate immune response.","Cell
type might be a critical factor in viruses triggering antiviral signaling
activation.",1.0,0.0
19,PMC6048202,PMC6048202_142,"Apical Transport of Viral Components ::: Nuclear Export, Assembly, Apical Transport, and Viral Budding ::: Strategies Targeting Host Cell Machinery","After the nuclear export of the vRNP complexes, host cell’s intracellular transport mechanism is required to deliver vRNP complexes to the host plasma membrane for the assembly of viral RNAs and proteins at the final stage of viral replication.","Among the various vesicular compartments found in a cell, the Rab11A+ endosomes are known to recycle endocytosed membrane proteins and lipids to the plasma membrane for membrane homeostasis (112), a property utilized by many RNA viruses, including IAV (87, 113–115).",IAV progeny virus production was found to be significantly reduced in Rab11A+ knockdown human cell lines (116).,0.0,0.0
20,PMC7278286,PMC7278286_888,BOX 5.16 “From Travel Bans to Global Disruptions” ::: Capturing the Realities: The Reactions to Disruptive Time,"And then, should they be regarded as important as the other?","Clearly, ‘health’ and ‘economy’ are two different things, but they have significant impacts on one another.","An unhealthy society would mean an unhealthy economy, and vice versa.",0.0,0.0
21,PMC7155164,PMC7155164_162,A review of the risk graph model ::: A review of supply chain risk propagation measurement,|,The next step is to create the collection of connections between the identified risks.,This is done by leveraging the structure of the supply network and the definition of a function ζ(z) which takes as input the location z in the supply network and will return the neighbors of that location.,0.0,0.0
22,PMC7121288,PMC7121288_232,Perspectives and Conclusions,A critical step in the process of viral induced membrane fusion is the activation of the viral fusogen.,"While most viruses that enter the cell through low pH endocytosis rely on protonation of certain residues (mostly histidines) of the viral fusogen to trigger fusion, the activating step in the case of other viruses is still ill-defined.",Better understanding of fusion triggering may therefore bring new possibilities for the manipulation of virus entry.,1.0,0.0
23,PMC7309683,PMC7309683_45,"The Vascular Hypothesis—Structural Damage, Oxidative Stress, and Inflammation ::: The Traditional View of “Cardiogenic Dementia”","Activation of the microglia has been regarded as particularly important, as these scavenger cells function both in the inflammatory cascade and the removal of Aβ from the brain [34, 87].","Under conditions of chronic low blood flow and glucose delivery, activated microglia were scarce in areas surrounding Aβ plaques and exhibited impaired functioning [34].","Thus, the reduced capability for these microglia to effectively clear Aβ confers an environment ideal for accumulation, aggregation, and further plaque formation.",1.0,0.0
24,PMC3274655,PMC3274655_169,Conclusions,|,"To maintain and improve the current situation of infectious diseases in the ROK, high coverage rate of vaccines in the national immunization program need to be maintained.","Moreover, vaccines that are not included in the national immunization program should be added, and surveillance and control of emerging or re-emerging diseases, especially imported infectious diseases, should be performed properly.",0.0,0.0
25,PMC7091929,PMC7091929_134,Discussion,"Mackall et al36,37 have examined the issue of T-cell dose infused during transplantation after multiple-cycle PBSCT, and found no difference in T-cell recovery between patients supported with autologous PBSC and CD34+ PBSC.","Meijer et al38 report that, by maintaining a T/B cell ratio in the graft of ⩾0.25, the risk of EBV-LPD can be significantly reduced in matched unrelated donor BMT.",The role of this in autologous stem cell transplantation must be investigated.,0.0,0.0
26,PMC7158194,PMC7158194_1417,Lead. ::: Metals ::: Toxicoses. ::: Degenerative Diseases ::: Disorders of Domestic Animals ::: Central Nervous System ::: Key Readings Index,|,"Lead poisoning has occurred in a variety of animals, but with the increased awareness of the potential for toxicity and environmental contamination and current regulations, such as reduced concentrations in paint and unleaded gasoline, poisoning is uncommon and if it occurs is most common in cattle.",Potential sources include discarded car batteries and old flaking or peeling lead paint in barns and farm buildings.,1.0,0.0
27,PMC7484589,PMC7484589_277,Principal component analysis (PCA) ::: Post-MD simulation ::: Results and discussion,All the studied complexes showed very fewer motions as compared with the reference compound.,"So from the PCA, we concluded that all compounds showed fewer motions and form a stable complex with Mpro.","From PCA, we conclude that ligand binding leads to the change in protein conformation as well as in dynamics.",0.0,0.0
28,PMC7107270,PMC7107270_21,CASE REPORT,A Grade 2/6 systolic murmur was audible along the left sternal border with no pericardial rub.,"There was no wheeze, but a few bilateral basal rales were heard.",The liver edge was palpable 5 cm below the right costal margin.,0.0,0.0
29,PMC7088785,PMC7088785_89,Global Leadership Development and Youth Agency ::: Conceptual Framework,"Critical global leadership development can be supported by cultivating a third space (Soja 1994) between home, school, and other local contexts which provides opportunities for youth to develop agency and to be empowered to interrogate injustices that they experience and witness in their communities (Allen-Handy and Thomas-EL 2018; Allen-Handy et al. 2019; Baldridge et al. 2017; Conner and Rosen 2016; Ginwright 2004; Kirshner 2015; Sung and Allen-Handy 2019; Sung and Coleman 2019).","For example, elements of youth activism and critical research have been noted to be essential for youth to develop critical consciousness and leadership capabilities. (",Cammarota and Fine 2008; Dolan et al. 2015).,0.0,0.0
30,PMC7243776,PMC7243776_244,Discussion,Research on immediate human responses to an emergency will assist with the long-term physical and mental health of affected people or their social environment.,"Given the limitations and paucity of previous research associated with emergency behaviour, the present findings are promising as we seek to establish a new way of studying this area.","Of course, these are the first steps towards a new method.",1.0,1.0
31,PMC7153337,PMC7153337_15,General concepts ::: Introduction and background,|,"In certain circumstances of ruling in or ruling out a suspect, the specific IgE may be of value.","Those individuals unfortunate to have allergies have problems due to IgE against allergens (such as ragweed, peanut, or cat dander).",0.0,0.0
32,PMC7169708,PMC7169708_27,Spiking experiments ::: MATERIALS AND METHODS,Virus titers after spiking were below the expected dilution factor in six of the eight blood units used.,"In one PC and in one plasma unit used for EBOV inactivation and in all four blood units used for MERS‐CoV inactivation, the virus titers before PI treatment were up to 1 log lower than expected from a 1‐in‐10 dilution.","However, no additional reduction in virus titers was observed during the course of the experiment.",0.0,0.0
33,PMC3750913,PMC3750913_113,Viral cell-to-cell spread assay ::: Methods,"Huh-7.5 cells were electroporated with HCV Jc1FLAG2(p7-nsGluc2A) RNA (10 μg) as described above to establish random productive infections in the cell population, and then mixed with naïve cells at a ratio of 1:1 before seeding in 12-well plates.",Assembled HCV particles (within 24 – 48 h post-transfection) would transmit to neighboring cells that do not harbor viral RNA during viral spread and form localized foci in ensuing incubation period [48].,"Medium was changed 24 h post-electroporation with an overlay medium containing the test drugs or control and 0.5% methylcellulose, and the plates were further incubated for 5 days before analysis of HCV-positive foci through immunostaining.",0.0,0.0
34,PMC7302304,PMC7302304_76,Sex-differences in immune phenotype associated with worsening of COVID-19 disease,|,"In contrast, in male patients, progressive disease was clearly associated with higher age, higher BMI, and poor CD8 T cell activation (Fig. 4d).","Poor CD8 T cell activation and poor IFNγ production by CD8 T cells were significantly correlated with patients’ age, while these correlations were not seen in female patients (Fig. 4d,e).",1.0,0.0
35,PMC7089173,PMC7089173_113,Discussion,"In addition to the potent inhibition shown by two sequence-specific shRNAs, the TCID50 and qPCR analyses also demonstrated that, compared with the mock control, the amount of viral RNAs in the negative control pRNAT-NC cells also decreased a little, which suggested a non-specific effect on TGEV replication in PK-15 cells.","Similarly, other researchers have discussed an “off-target” effect induced by siRNA or shRNA in their reports.",Lu et al. [45] found that the non-specific effect was positively related to the concentration of the shRNAs.,0.0,0.0
36,PMC6051663,PMC6051663_16,Introduction,|,"FCV vaccines are available for cats [20]; however, there is a limit on its efficacy because of low or no preventive effect against FCVs with different antigenicity and short-lived immunity [13, 20].","A lack of a robust and reproducible in vitro cultivation system for human noroviruses (HNoVs) has not been developed until recently, thereby hindering the development of effective interventions [21].",1.0,0.0
37,PMC7113746,PMC7113746_61,TaqMan array card (TAC) assays ::: Materials and methods,"Extracted nucleic acid (46 μL) was combined with AgPath-ID One-Step RT-PCR Reagent (ThermoFisher Scientific, Waltham, MA, 54 μL) and the reaction mixture was loaded into one of the sample ports.",After all ports were loaded the reaction mixtures were distributed throughout the TAC by low speed centrifugation.,This also rehydrates the lyophilized oligonucleotides.,0.0,0.0
38,PMC6323992,PMC6323992_142,Website developments ::: PROGRESS AND DEVELOPMENTS,|,During the last year we have added three new visualizations to the UniProt website.,"Firstly, we have added a method for viewing molecular interactions, secondly a method for viewing the subcellular localization of the proteins and finally we have added a molecular structure viewer.",0.0,0.0
39,PMC7185611,PMC7185611_77,Targeted cationic delivery systems ::: Non‐viral nucleic acid delivery ::: Delivery of siRNA,A targeted amino acid‐based system was based on the cationic peptide protamine [67].,To the system’s protamine block the C‐terminus of the heavy‐chain Fab fragment of an HIV‐1 envelope antibody was coupled to form a protein construct known as ‘F105‐P’.,"This system was highly efficient in binding to and transfection of cells expressing the HIV‐envelope protein, although it is unclear why the HIV‐envelope protein would be internalized.",0.0,0.0
40,PMC7224612,PMC7224612_13,Prognosis of Intubated Patients With COVID-19 ::: SPECIFIC CONSIDERATIONS FOR COVID-19 PATIENTS,Three of the 20 patients who were survivors were invasively intubated.,"However, all 3 patients remained intubated at 28 days at the conclusion of the study.","There were no patients who were intubated and then successfully extubated and survived by the conclusion of the study.14 In a cohort of 191 hospitalized patients, 54 were nonsurvivors and 137 were survivors.",0.0,0.0
41,PMC7264940,PMC7264940_121,Discussion,"In addition, a religious lifestyle is associated with a higher birth rate (in our study the percentage of parents was twice as high among religious students in comparison with the secular group).","Being isolated with young children could be challenging, as we found higher anxiety level among those students who are parents and reported a heavy burden following closure of schools and kindergartens.",|,1.0,0.0
42,PMC3068995,PMC3068995_137,DYNA-IND IAV entry follows a pathway with similarities to macropinocytosis ::: Results,"Interestingly, in the presence of IAV (MOI of 10) the uptake of Fdx into vesicles was clearly enhanced.",At a higher magnification viral particles could be found to co-localize in Fdx loaded vesicles as well as outside these vesicles (Fig. 8B).,Phalloidin staining of actin was used to demonstrate that many virus particles localized to actin-rich protrusions at the periphery of the cell.,0.0,0.0
43,PMC7258710,PMC7258710_44,Treatment ::: Influenza,"Antibiotics and parenteral fluids are rarely required but may be indicated in severe cases and in neonates.19 Use of antipyretics to control fever is debatable, because fever is an important host defense mechanism.","In a recent meta-analysis of the use of antipyretics in animal models of influenza virus, risk of death increased with the use of certain antipyretics (aspirin, paracetamol, and diclofenac).13
",|,1.0,0.0
44,PMC7152269,PMC7152269_3,,"The appearance of emerging infectious diseases (those caused by a newly recognized agent) and reemerging infectious diseases (those caused by a known agent that has developed enhanced pathogenicity or dramatically increased in incidence) may be due to multiple factors, but perhaps the most important are the alteration of human and nonhuman ecology and environmental change.","Despite the devastating effect that unrecognized and unanticipated diseases may have on the human population, the concept of “emerging infections” did not coalesce until the 1990s.","In 1992, the Institute of Medicine (IOM) of the National Academy of Sciences published a report that called for the establishment of programs to effectively identify, monitor, and respond to all infectious agents, including newly recognized pathogens such as human immunodeficiency virus (HIV) and antimicrobial-resistant bacteria.",1.0,0.0
45,PMC3230622,PMC3230622_49,Introduction,Up till now there is no information available on if and how NSDV/GV manipulates the host innate immune system.,"Because of the difficulties in handling CCHFV, there is only limited correlation of studies on virus and on viral proteins.",We provide here the evidence that NSDV/GV is able to inhibit IFN induction as well as IFN action.,1.0,0.0
46,PMC7305059,PMC7305059_234,Conclusions,"Both represent interferences in person-place interrelationships, expressed in terms of the speed and character of change in a given location, and underline the need to reconsider volume growth tourism models.","As this research contends, a continuing failure to address the socio-psychological consequences on resident communities of burgeoning tourist demand at the macro and local levels will produce negative social outcomes; to the point where municipal governments are toppled (Russo & Scarnato, 2018).",|,1.0,0.0
47,PMC3145127,PMC3145127_199,Climatic Dendrograms ::: Predicting Future Disease Vector Invasions ::: Global Transport Networks and Disease Vector Invasions,|,Both the lack of sufficient co-variance information in the majority of seaport/airport signatures and the location of many seaports/airports on small islands dictated that only ‘Euclidean’ distances could be used as a measure of climatic similarities.,"Euclidean distance is defined as the shortest straight-line distance between two points: in this case it is the distance between the centroids of the port climate signatures in nine-dimensional space (ERDAS, 2003).",1.0,0.0
48,PMC7436549,PMC7436549_125,THE THREE‐DIMENSIONAL REMEDIES,"There cannot be legal entities who benefit from the pandemics, and those who find themselves in a favorable position must exhibit financial solidarity toward those affected most.","Alternatively, such fortunate entities should be subjected to excess profits taxation, generating the government's emergency revenues in times of crisis.","Even more so, those legal entitles and workers who will be unaffected or mildly affected by the health crisis should continue to cover their responsibilities toward the government regularly.",0.0,0.0
49,PMC2543006,PMC2543006_6,abstract,"RESULTS: Forced air systems with high efficiency filtration were found to provide the best control of asthma triggers: 30–55% lower cat allergen levels, 90–99% lower risk of respiratory infection through the inhalation route of exposure, 90–98% lower environmental tobacco smoke (ETS) levels, and 50–75% lower fungal spore levels than the other ventilation/filtration systems considered.","These results indicate that the use of high efficiency in-duct air cleaners provide an effective means of controlling allergen levels not only in a single room, like a portable air cleaner, but the whole house.",CONCLUSION: These findings are useful for evaluating potential benefits of high efficiency in-duct filtration systems for controlling exposure to asthma triggers indoors and for the design of trials of environmental interventions intended to evaluate their utility in practice.,0.0,0.0
50,PMC2874344,PMC2874344_54,"Emerging, Reemerging, and Neglected Zoonoses",mosquitoes and found in sheep and goats.,"For many zoonotic agents, the potential to cause infection in accidental hosts, such as humans, exists, but often this represents a dead-end host.","Pathogens such as Anaplasma spp.,",1.0,0.0
51,PMC7203732,PMC7203732_21,Bangladesh's Response to COVID-19,"However, concerns have been raised that extreme insufficiency of testing assays may be leaving many cases undetected in the country.","In response to the emergence of the virus, Bangladesh admittedly reduced international flights, imposed thermal scanner checking, and shut down schools; however, offices maintained their regular schedules until March 26.",|,0.0,0.0
52,PMC7097102,PMC7097102_135,Main,"In addition, such bacteria are better able to acquire nutrients, further enhancing their ability to survive and infect the host.","Therefore, anti-adhesive drugs that prevent the adhesion of pathogens to host tissues may offer a novel strategy to fight infectious diseases89.",The alarming increase in drug-resistant bacterial pathogens makes a search for new approaches to fight bacterial infections essential90.,1.0,1.0
53,PMC7076563,PMC7076563_138,p115 ::: Apoptotic Stress and Golgi Fragmentation ::: Golgi Stress Response,"The extreme C-terminal fragment, generated by caspase cleavage during apoptosis, translocates into the nucleus and further activates the apoptosis machinery.","Interestingly, translocation of the p115 C-terminal fragment happens prior to major Golgi structural changes, indicating it as an early event (Mukherjee and Shields 2009).","The p115 C-terminus is SUMOylated, which regulates its nuclear translocation and amplification of apoptosis signals in a p53-dependent manner (How and Shields 2011; Mukherjee and Shields 2009).",0.0,0.0
54,PMC7126575,PMC7126575_93,Cortisol ::: Physiological measures,Idealistically one may aspire to determine set cut-off levels to identify whether an individual’s welfare is unacceptably poor.,"Unfortunately, due to the myriad of factors that may influence measures (sex, age, neuter status, time of day, etc. -","see: Cobb et al., 2016 and Mormède et al., 2007); the limited understanding of when and how dysregulation of the system occurs; the lack of correlation with behavioural measures; and the fact that levels increase in response to arousal regardless of its valence, it is not currently possible to determine such a cut-off value for unacceptable welfare.",1.0,0.0
55,PMC7271162,PMC7271162_386,"Karachi ::: Megacities: Contemporary Trends in Diarrheal Diseases and Lessons from History ::: Effects of Increasing Water and Land Use – and Scarcity – on Human Health: Some Examples from Aquaculture, Megacities, Dams, and Intensive Agriculture","Low-intensity seismic activity, though normally not felt by people, probably further damages worn-out pipelines.","Additionally, due to the water shortages, the pipelines remain empty for a considerable amount of time daily, during which time they develop negative pressure and absorb moisture and sewage that has leaked from the nearby, similarly worn-out sewers.","Additionally, after rains, rainwater mixes with sewage and garbage can enter the pipelines through the leaks to contaminate the drinking water supply, making people vulnerable to numerous health hazards (Hasan, 2008).",1.0,0.0
56,PMC7113746,PMC7113746_22,Introduction,"TACs and associated positive control materials (Kodani and Winchell, 2012) have been designed for the detection of respiratory pathogens (Kodani et al., 2011, Waller et al., 2014, Steensels et al., 2015), hepatitis genomes (Kodani et al., 2014), enteropathogens (Liu et al., 2014, Liu et al., 2013, Platts-Mills et al., 2014), and bioterrorism agents (Weller et al., 2012, Rachwal et al., 2012).","Assays are independent of each other, so that modification of one primer/probe set will not require revalidation of the entire TAC.","Thus, in the event that an assay is updated, new TACs would only have to be manufactured that incorporate the design change.",0.0,0.0
57,PMC6249571,PMC6249571_450,DISCUSSION,"Larger vesicles of higher density would imply an enrichment of cargo within VP40 EVs, which was supported by a greater abundance of proteins detected by MS analysis (Supplementary Table 1).","The increased numbers and diversity of proteins found in EVs from VP40-producing cells could influence the outcomes of recipient cells, particularly if those proteins were associated with nucleic acids.","A collection of RNA-binding proteins was found from MS analysis of EVs from V2C cells, and although we do not yet know the RNAs associated with these proteins, they may be important for activities in recipient cells.",0.0,0.0
58,PMC3230622,PMC3230622_73,Delayed IFNβ induction in NSDV-infected Vero cells ::: Results,"There was a significant difference between the two isolates, NSDV and GV, regarding the kinetics of activation of the IFNβ promoter.",Activation by the GV isolate was later than that induced by the NSDV isolate and also the transcriptional activation observed was lower when compared to the NSDV isolate (fig. 1b).,"This might be due to the fact that the NSDV isolate was previously passaged over 60 times in cell culture, in contrast to the GV isolate which has primarily been maintained in mouse brain culture and has been passed twice in BHK-21 culture in our hands; this difference may have resulted in the NSDV isolate having a reduced efficiency to evade IFN induction, or a more rapid growth in the cultured cells, leading to a more rapid production of one or more PAMPs recognised by the host cell.",0.0,0.0
59,PMC3322797,PMC3322797_63,Public Health Response ::: Sequential SARS Outbreaks,"Most importantly, in line with SGH’s standing rule, no affected healthcare workers came to work when they had fever.",There was no evidence of secondary transmission.,|,0.0,0.0
60,PMC5654761,PMC5654761_111,Discussion,|,Our spatial mapping has direct relevance to ongoing surveillance and pathogen discovery efforts (http://www.globalviromeproject.org/).,It shows that the global distribution of zoonotic EID risk (and the presence of EID “hotspots”) is concentrated in tropical regions where wildlife biodiversity is high and land-use change is occurring.,0.0,1.0
61,PMC7158194,PMC7158194_1385,Sodium Chloride. ::: Chemicals. ::: Toxicoses. ::: Degenerative Diseases ::: Disorders of Domestic Animals ::: Central Nervous System ::: Key Readings Index,|,During the initial hypernatremic phase the brain “shrinks” because of the osmotic loss of water.,"An influx of sodium, potassium, and chloride ions into the brain, beginning within minutes after the osmotic loss of water, is an acute adaptive response to equalize the sodium imbalance.",0.0,0.0
62,PMC7305059,PMC7305059_192,A multidimensional conceptualisation of place/person interactions,"Importantly, reactions will be emotional, and develop through various stages, such as irritation, annoyance, anger and fear (Fig. 3
).","Depending on an individual's emotional state, responses may be defensive (withdrawing, flight) or offensive (aggressive, fight).",|,0.0,0.0
63,PMC7094316,PMC7094316_83,,"Similar to HIV and SIV, FIV infects helper T lymphocytes and macrophages in heart lesions.","These cells play an important immunological role, assisting in both humoural and cell-mediated immunity (Hosie et al., 2009).",|,0.0,0.0
64,PMC7122801,PMC7122801_97,Histological Evidence of Drug Dependency ::: Corroborating and Refuting Antemortem Diagnosis and Clinical Suspicions ::: The Roles of Histology in Forensic Pathology Practice,"In addition, cocaine abuse may be associated with catecholamine-induced contraction band necrosis of the myocardium, eosinophilic myocarditis, or infective endocarditis.",Heroin abuse may cause renal amyloidosis and focal segmental glomeruloslcerosis.,These drugs of abuse may also result in potentially lethal rhabdomyolysis and subsequent renal failure.,1.0,0.0
65,PMC7306821,PMC7306821_27,Transfer of Anesthetic Sensitivity to TRAAK Channel.,"Interestingly, native TRAAK is also insensitive to PLD2 (29).","However, concatenating PLD2 to the N terminus maximally activates TRAAK and introduction of the PLD2 binding domain from TREK-1 renders TRAAK PLD2 sensitive (29).","If PLD2 is responsible for anesthetic sensitivity in TREK-1, we reasoned we could render TRAAK anesthetic sensitive by introducing the PLD2 binding site into the C terminus of TRAAK (Fig. 3A).",0.0,0.0
66,PMC6069180,PMC6069180_197,DISCUSSION,"Therefore, the vectors may not be employed for immunization of healthy female subjects of reproductive age or younger, or the subjects may forego later use of antiprogestins for emergency contraception.","In contrast, the HSV-GS vectors may be well suited to be immunization agents or platforms in middle-aged or elderly subjects.",Note that it may be feasible to disable replication of fully activated HSV-GS vectors in latently infected cells through further engineering.,0.0,1.0
67,PMC7086786,PMC7086786_114,Cell fusion induced by the hPIV2 HN and F proteins is sufficient for enhanced propagation of IAV ::: Results,"Cell fusion was observed in Vero cells that co-expressed the HN and F proteins, but not in cells that expressed either the HN or F proteins by themselves, and IAV infection was detected in the syncytia (Fig. 4a).",IAV propagated more efficiently in Vero cells that expressed the HN and F proteins than cells that expressed either the HN or F proteins (Fig. 4b).,These results indicated that cell fusion of IAV-infected cells was the likely cause of the enhanced growth of IAV by coinfection with hPIV2.,1.0,0.0
68,PMC7172762,PMC7172762_26,The case for a LUCA confined within a network of inorganic compartments,|,"According to the hydrothermal origin hypothesis, the first organisms were chemolithoautotrophs whose metabolism centered around thioester formation reactions 17, 19 similar to the modern acetyl-CoA (Wood-Ljungdahl) pathway [32].","These reactions would have been fuelled by the exergonic reaction between hydrothermal H2 and marine CO2 to produce reduced carbon compounds 32, 35.",0.0,1.0
69,PMC7107270,PMC7107270_23,CASE REPORT,The liver edge was palpable 5 cm below the right costal margin.,"After resuscitation in the paediatric emergency room, he was admitted to the paediatric intensive care unit under the differential diagnosis of acute coronary syndrome and acute myocarditis.","
",0.0,0.0
70,PMC7275187,PMC7275187_66,Data ::: RESULTS AND DISCUSSIONS,"In Table 2
, we present the basic summary statistic distribution of the stock market volatility series from the sampled economies.","The average, standardized average deviations, minimum, and maximum return values are reported for each economy during the calm period and COVID-19 period.","Generally, these volatility distributions are higher in magnitude during the COVID-19 period relative to the calm period.",0.0,0.0
